method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,dataset,model,optimizer,batch_size,damping,a_power,pink_alpha,geometry_rebuild_every_epochs
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7927048616429679,0.6681969724595547,0.7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5881825261391126,0.4932958848774433,0.8366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.42307194920941293,0.37146737264702095,0.9358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.31899325450898236,0.2811297165375436,0.9444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.0005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.446432073146869,0.38685391906474254,0.9485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.2958011839570653,0.2506559574365383,0.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.001,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.44793243591602033,0.39454006703767847,0.9535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.002,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.27534938216782534,0.2383515290055584,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.002,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,1.1969840488372705,1.2416865466679383,0.9088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7520250376855206,0.7648701847268967,0.9324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.5,0.005,0.4034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7909992431473528,0.6618531249463558,0.7893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5754112072734752,0.4808770757168531,0.8431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.4030263138632489,0.3534878552716691,0.9365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.29885628475592685,0.26308599951444195,0.9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.0005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.419968313895739,0.3640903018123936,0.9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.2737712912961968,0.231741592886101,0.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.001,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.42096800201086915,0.37155215732509533,0.9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.002,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.2555340128735854,0.22226680902895168,0.9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.002,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,1.1706042447660723,1.2160080433750409,0.9077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7292836174114138,0.7384619383723475,0.9316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,1.0,0.005,0.806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7879515127239064,0.6545235410332679,0.7925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5631232200524746,0.46927708610892294,0.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.3829579142232736,0.3354252878227271,0.9368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.27920977405121183,0.24545772927522194,0.9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.0005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.3938333060687933,0.34157549939409365,0.9495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.25244495476412976,0.21351392015931198,0.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.001,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.39451486228877664,0.349608948196601,0.9532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.002,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.23653605997435048,0.2068761682341574,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.002,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,1.1470679229396021,1.1997453513707115,0.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7068435259991221,0.7164010768843582,0.9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,2.0,0.005,1.61376953125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7817973418113513,0.6432897783815861,0.7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5490676225760044,0.45583979189395907,0.8576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.3563320059170071,0.3117213497578632,0.9373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.25469944985885906,0.22342152443015947,0.9463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.0005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.35977543922316313,0.31190165422158317,0.9498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.22571845242801386,0.19074359313235617,0.9566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.001,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.3605000366512527,0.3196986103117524,0.9531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.002,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.2126162350177765,0.18765202729919112,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.002,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,1.1129944456948175,1.1724511654203524,0.9027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.6755213973741246,0.6853616930078715,0.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,5.0,0.005,4.034423828125,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
